Company,MSE,MAE,R2,MAPE
ABRA.TA,29.80132614,3.84523552,0.966054877,1.372073654
ACCL.TA,3.583244375,1.402449238,0.990504144,1.554082159
ACKR.TA,146.4056937,8.794643713,0.913885312,1.641931157
ACRO.TA,10472.39695,80.47328244,0.934274465,1.980542477
ADGR.TA,67.10314014,6.291476472,0.90394597,1.342239571
AFHL.TA,12997.82824,79.8456608,0.936755856,0.833069568
AFPR.TA,72563.07383,200.7410221,0.937039157,1.278568103
AFRE.TA,208271.6728,378.1913768,0.950930962,1.764891118
AICS-M.TA,2170.115642,24.67775062,0.991801598,1.981422618
AILN.TA,6.782058824,1.594537815,0.936533913,2.799909906
ALAR.TA,3547.509578,37.66422781,0.975939593,5.32187367
ALBA.TA,1576.186373,22.69442139,0.961250179,1.663752818
ALHE.TA,4090.272729,49.40655462,0.891789722,1.870571458
ALLT.TA,925.9674217,21.2075157,0.983378123,2.453233823
ALMA.TA,180.6072299,9.324219182,0.966284363,1.261306553
ALMD.TA,0.509749667,0.287398997,0.969749928,0.750000194
ALMY.TA,354.1366354,7.724711197,0.905185493,0.809708699
ALRPR.TA,48630.64294,164.4932565,0.929482663,1.213629942
ALUMA.TA,0.635686809,0.545072984,0.914896495,1.769330501
AMAN.TA,402.3039646,11.40540237,0.778455497,0.750739531
AMD.TA,823.5249543,14.15673314,0.845099406,1.428278804
AMDA.TA,11.70750869,1.850122582,0.893191829,1.054524679
AMOT.TA,799.7015134,22.90672269,0.941813933,1.397957156
AMRK.TA,1439.484024,26.98328795,0.985619202,1.185036422
AMRM.TA,1217.195869,26.72278804,0.604324728,0.997088227
AMX.TA,1.496896555,0.782715098,0.965342173,2.854488532
ANGL.TA,4501.035004,39.87621727,0.96362261,1.078088629
APLP.TA,595.0787682,17.21222828,0.892781179,2.874154493
AQUA.TA,161.1632019,8.115494943,0.962119742,4.120675665
ARAD.TA,38461.57915,131.2206741,0.978533494,1.633891532
ARAN.TA,468.4610334,12.00843303,0.95831748,0.593012146
ARBE.TA,226.1447461,8.63846752,0.348061602,1.207586638
ARD.TA,7619.108387,62.53168067,0.967121573,1.219794786
ARDM.TA,16.30639146,2.761710757,0.956729885,3.799120795
ARF.TA,22642.23751,104.8923305,0.709001167,1.846184929
ARGO.TA,23384.39035,106.4113582,0.972998029,1.347375404
ARIN.TA,18.97519733,3.100582775,0.946135975,1.351613805
ARPT.TA,9905.340336,79.03781513,0.897258009,1.388935092
ARTS.TA,5.612369942,1.223121387,0.859621261,2.78447323
ARYT.TA,210.2456712,10.37543697,0.964990466,2.497172543
ASGR.TA,96.81980245,7.103395539,0.969053725,1.17106059
ASHG.TA,14397.43098,97.05705057,0.916235335,1.890513013
ASHO.TA,9144.813194,65.14387961,0.979722306,2.040109316
AUDC.TA,9885.484426,63.38105042,0.944338013,1.561881845
AUGN.TA,166.2687479,8.783458975,0.958411148,3.54453315
AUIS.TA,1145.165891,19.40382946,0.956911346,1.843432094
AURA.TA,906.5883021,24.24617093,0.985995107,1.816457163
AUSA-M.TA,9.997331176,0.595135698,0.910537697,0.397101193
AVER.TA,2573.979452,30.82693786,0.961488142,2.452817979
AVGD.TA,752.7207151,19.92436254,0.970558261,1.427996774
AVGL.TA,8.531176471,2.076470588,0.947113653,1.50679992
AVIA.TA,551.7418981,15.28910862,0.9818555,1.186504089
AVIV.TA,571.1852032,15.50268849,0.958945456,1.164340985
AVRT.TA,3.704663866,0.571848739,0.868335931,0.976100828
AYAL.TA,1213.503284,25.79440281,0.962581571,1.400147406
AZRG.TA,223346.0699,368.9258824,0.927532987,1.546375757
AZRM.TA,1239.838425,27.90823847,0.945374342,1.707454317
AZRT.TA,76.10904253,5.890747573,0.917059383,1.498166668
BBLS.TA,1.096151986,0.799176767,0.917008585,2.364739372
BCNV-M.TA,519211.69,296.2933126,0.954558538,1.266378091
BCOM.TA,642.4478894,19.54142051,0.94892148,1.503797652
BCUR.TA,0.440693742,0.317925935,0.983045906,0.97478203
BEZQ.TA,32.35485422,4.539219288,0.923966265,1.033420113
BHNY.TA,367.3941597,13.64327731,0.995023087,2.597801248
BIG.TA,436287.0623,526.1845861,0.93367557,1.392429937
BIGT.TA,13.62554821,1.917448462,0.939012498,1.054893369
BIMT.TA,1.001852878,0.765830028,0.988923197,2.234270313
BIOV.TA,0.314918786,0.248454105,0.96221282,0.850492374
BIRM.TA,1478.586006,18.23632353,0.898486795,1.771541785
BKFR.TA,472.8534535,13.89462183,0.834081706,1.227694366
BKRY.TA,17.17944118,2.844213991,0.981541335,1.07071449
BLGO.TA,281.5601624,10.10451961,0.820984894,1.309541464
BLITZ-M.TA,424.6488396,10.56388431,0.990106193,2.448728686
BLRN.TA,27.31005236,3.178010471,0.972455083,4.262419369
