Date,Ticker,Forecast,Days_Ahead
2024-09-27,TA-35,2072.3699,1
2024-09-28,TA-35,2033.0062,2
2024-09-29,TA-35,2000.6345,3
2024-09-30,TA-35,1973.6945,4
2024-10-01,TA-35,1951.0596,5
2024-10-02,TA-35,1931.8926,6
2024-10-03,TA-35,1915.5568,7
2024-10-04,TA-35,1901.5575,8
2024-10-05,TA-35,1889.5057,9
2024-10-06,TA-35,1879.0897,10
2024-10-07,TA-35,1870.0568,11
2024-10-08,TA-35,1862.2006,12
2024-10-09,TA-35,1855.3507,13
2024-10-10,TA-35,1849.3652,14
2024-10-11,TA-35,1844.1249,15
2024-10-12,TA-35,1839.5295,16
2024-10-13,TA-35,1835.494,17
2024-10-14,TA-35,1831.9453,18
2024-10-15,TA-35,1828.8213,19
2024-10-16,TA-35,1826.0685,20
2024-10-17,TA-35,1823.6406,21
2024-10-18,TA-35,1821.4978,22
2024-10-19,TA-35,1819.6052,23
2024-10-20,TA-35,1817.9327,24
2024-10-21,TA-35,1816.4537,25
2024-10-22,TA-35,1815.1455,26
2024-10-23,TA-35,1813.9879,27
2024-10-24,TA-35,1812.9629,28
2024-10-25,TA-35,1812.0552,29
2024-10-26,TA-35,1811.2512,30
2024-11-01,TA-125 Fossil Free,2037.8322,1
2024-11-02,TA-125 Fossil Free,1999.772,2
2024-11-03,TA-125 Fossil Free,1955.4275,3
2024-11-04,TA-125 Fossil Free,1903.7822,4
2024-11-05,TA-125 Fossil Free,1844.0436,5
2024-11-06,TA-125 Fossil Free,1776.1086,6
2024-11-07,TA-125 Fossil Free,1701.3284,7
2024-11-08,TA-125 Fossil Free,1623.4493,8
2024-11-09,TA-125 Fossil Free,1549.1216,9
2024-11-10,TA-125 Fossil Free,1486.5742,10
2024-11-11,TA-125 Fossil Free,1441.589,11
2024-11-12,TA-125 Fossil Free,1413.9833,12
2024-11-13,TA-125 Fossil Free,1399.059,13
2024-11-14,TA-125 Fossil Free,1391.6255,14
2024-11-15,TA-125 Fossil Free,1388.0874,15
2024-11-16,TA-125 Fossil Free,1386.4415,16
2024-11-17,TA-125 Fossil Free,1385.6841,17
2024-11-18,TA-125 Fossil Free,1385.3374,18
2024-11-19,TA-125 Fossil Free,1385.179,19
2024-11-20,TA-125 Fossil Free,1385.1068,20
2024-11-21,TA-125 Fossil Free,1385.0739,21
2024-11-22,TA-125 Fossil Free,1385.0588,22
2024-11-23,TA-125 Fossil Free,1385.052,23
2024-11-24,TA-125 Fossil Free,1385.0488,24
2024-11-25,TA-125 Fossil Free,1385.0475,25
2024-11-26,TA-125 Fossil Free,1385.0468,26
2024-11-27,TA-125 Fossil Free,1385.0465,27
2024-11-28,TA-125 Fossil Free,1385.0464,28
2024-11-29,TA-125 Fossil Free,1385.0464,29
2024-11-30,TA-125 Fossil Free,1385.0464,30
2024-11-01,TA-125,2175.1174,1
2024-11-02,TA-125,2117.1797,2
2024-11-03,TA-125,2068.3262,3
2024-11-04,TA-125,2026.3674,4
2024-11-05,TA-125,1989.7948,5
2024-11-06,TA-125,1957.531,6
2024-11-07,TA-125,1928.7837,7
2024-11-08,TA-125,1902.9554,8
2024-11-09,TA-125,1879.5862,9
2024-11-10,TA-125,1858.3152,10
2024-11-11,TA-125,1838.855,11
2024-11-12,TA-125,1820.9729,12
2024-11-13,TA-125,1804.4789,13
2024-11-14,TA-125,1789.215,14
2024-11-15,TA-125,1775.0492,15
2024-11-16,TA-125,1761.8701,16
2024-11-17,TA-125,1749.5824,17
2024-11-18,TA-125,1738.1042,18
2024-11-19,TA-125,1727.3652,19
2024-11-20,TA-125,1717.3027,20
2024-11-21,TA-125,1707.8632,21
2024-11-22,TA-125,1698.9978,22
2024-11-23,TA-125,1690.6643,23
2024-11-24,TA-125,1682.8242,24
2024-11-25,TA-125,1675.4434,25
2024-11-26,TA-125,1668.4902,26
2024-11-27,TA-125,1661.9369,27
2024-11-28,TA-125,1655.7576,28
2024-11-29,TA-125,1649.9286,29
2024-11-30,TA-125,1644.4283,30
2024-11-01,TA Sector-Balance,2464.2314,1
2024-11-02,TA Sector-Balance,2373.8755,2
2024-11-03,TA Sector-Balance,2296.237,3
2024-11-04,TA Sector-Balance,2228.2832,4
2024-11-05,TA Sector-Balance,2167.9414,5
2024-11-06,TA Sector-Balance,2113.7415,6
2024-11-07,TA Sector-Balance,2064.6096,7
2024-11-08,TA Sector-Balance,2019.7424,8
2024-11-09,TA Sector-Balance,1978.5255,9
2024-11-10,TA Sector-Balance,1940.4823,10
2024-11-11,TA Sector-Balance,1905.2362,11
2024-11-12,TA Sector-Balance,1872.4869,12
2024-11-13,TA Sector-Balance,1841.9901,13
2024-11-14,TA Sector-Balance,1813.5465,14
2024-11-15,TA Sector-Balance,1786.99,15
2024-11-16,TA Sector-Balance,1762.1809,16
2024-11-17,TA Sector-Balance,1739.0,17
2024-11-18,TA Sector-Balance,1717.3436,18
2024-11-19,TA Sector-Balance,1697.1205,19
2024-11-20,TA Sector-Balance,1678.2488,20
2024-11-21,TA Sector-Balance,1660.6539,21
2024-11-22,TA Sector-Balance,1644.267,22
2024-11-23,TA Sector-Balance,1629.0231,23
