Ticker,Correlated_Ticker
ACRO.TA,ISCN.TA
ACRO.TA,AZRM.TA
ACRO.TA,ASHG.TA
ACRO.TA,DIMRI.TA
ACRO.TA,SLARL.TA
ACRO.TA,ARPT.TA
ACRO.TA,RIT1.TA
ACRO.TA,PRSK.TA
ACRO.TA,MGOR.TA
ACRO.TA,ILDC.TA
ADGR.TA,SLARL.TA
ADGR.TA,MLSR.TA
ADGR.TA,BIG.TA
ADGR.TA,AZRM.TA
ADGR.TA,ALHE.TA
ADGR.TA,MVNE.TA
ADGR.TA,ISRS.TA
ADGR.TA,ELCRE.TA
ADGR.TA,LVPR.TA
ADGR.TA,AMOT.TA
AFPR.TA,BIG.TA
AFPR.TA,RIT1.TA
AFPR.TA,SLARL.TA
AFPR.TA,AZRM.TA
AFPR.TA,ASHG.TA
AFRE.TA,AZRM.TA
AFRE.TA,DIMRI.TA
AFRE.TA,SLARL.TA
AFRE.TA,ISCN.TA
AFRE.TA,AURA.TA
AFRE.TA,PRSK.TA
AFRE.TA,KARE.TA
AFRE.TA,BIG.TA
AFRE.TA,HGG.TA
AFRE.TA,ACRO.TA
AICS-M.TA,SHMM.TA
AICS-M.TA,PLNT.TA
AICS-M.TA,STEC.TA
ARPT.TA,AZRG.TA
ARPT.TA,MVNE.TA
ARPT.TA,AMOT.TA
ARPT.TA,BIG.TA
ARPT.TA,EQTL.TA
ARPT.TA,MLSR.TA
ARPT.TA,RIT1.TA
ARPT.TA,SLARL.TA
ARPT.TA,ALHE.TA
ARPT.TA,ACRO.TA
ARTS.TA,PLCR.TA
ALHE.TA,AMOT.TA
ALHE.TA,MLSR.TA
ALHE.TA,MVNE.TA
ALHE.TA,BIG.TA
ALHE.TA,RIT1.TA
ALHE.TA,SLARL.TA
ALHE.TA,AZRG.TA
ALHE.TA,ARPT.TA
ALHE.TA,ASHG.TA
ALHE.TA,MGOR.TA
AMOT.TA,ALHE.TA
AMOT.TA,MLSR.TA
AMOT.TA,RIT1.TA
AMOT.TA,AZRG.TA
AMOT.TA,MVNE.TA
AMOT.TA,SLARL.TA
AMOT.TA,BIG.TA
AMOT.TA,ARPT.TA
AMOT.TA,ASHG.TA
AMOT.TA,MGOR.TA
ARGO.TA,ARPT.TA
ASHG.TA,BIG.TA
ASHG.TA,ELCO.TA
ASHG.TA,SLARL.TA
ASHG.TA,AZRM.TA
ASHG.TA,MGOR.TA
ASHG.TA,ACRO.TA
ASHG.TA,RIT1.TA
ASHG.TA,AMOT.TA
ASHG.TA,ARPT.TA
ASHG.TA,ELTR.TA
AURA.TA,AZRM.TA
AURA.TA,AFRE.TA
AURA.TA,ISCN.TA
AURA.TA,PRSK.TA
AURA.TA,ILDC.TA
AURA.TA,KARE.TA
AUSA-M.TA,INFR-M.TA
AUIS.TA,LHIS.TA
AVRT.TA,UPSL.TA
AVRT.TA,UNCT.TA
AZRM.TA,ISCN.TA
AZRM.TA,AFRE.TA
AZRM.TA,BIG.TA
AZRM.TA,ASHG.TA
AZRM.TA,ACRO.TA
