Company,MSE,MAE,R2,MAPE
ABRA.TA,25.90775401,4.04854776,0.934405378,0.01474078
ACCL.TA,5.545714325,1.93371458,0.97884691,0.016491708
ACKR.TA,14172.62274,80.69818393,-0.08787079,0.112100088
ACRO.TA,37811.03898,147.503602,0.861681432,0.02902436
ADGR.TA,512.6002746,17.24780224,0.729547858,0.036309431
ARDM.TA,27.42472894,3.153909947,0.928790906,0.050755054
AFHL.TA,211905.4201,395.9584683,0.957054556,0.038826436
AFPR.TA,372823.4735,455.618966,-0.624883107,0.027296505
AFRE.TA,7239287.238,1896.463113,-0.266614376,0.072201814
AICS-M.TA,98989.01212,167.4173427,-0.342552076,1.036387915
ARPT.TA,118213.419,302.0924797,-0.547241123,0.053321137
ARTS.TA,162.6647353,9.337401857,-2.812074978,0.264358971
ALAR.TA,36584.4294,151.2517464,0.680577829,0.257033748
ALBA.TA,20321.26316,113.1408949,0.630419747,0.071757351
ALMD.TA,0.991634701,0.803397217,0.878916468,0.022029103
ALLT.TA,35881.60486,134.8143583,0.506605951,0.103647901
ALMY.TA,93420.30224,203.5000214,0.593851474,6.538976085
ALMA.TA,16158.68695,85.16966044,0.036372041,0.088519272
ALHE.TA,90146.43507,201.6924999,-0.848320209,0.069760119
ALRPR.TA,409285.3412,468.1767499,0.861710552,0.031847532
ALUMA.TA,62.43738659,6.619476343,-1.881134936,0.172249938
AMAN.TA,597.0530795,19.37253974,0.695827883,0.012594289
AMD.TA,10483.08265,71.97692648,-18.9595205,0.078757089
AMRK.TA,9695.561379,75.28724633,0.806731765,0.028529551
AMOT.TA,2860.589108,39.1826152,0.934956111,0.022658226
ANGL.TA,31405.99757,140.2220449,0.686871782,0.042356062
APLP.TA,53592.27235,146.0383726,-3.81807635,0.335016317
AQUA.TA,13630.87392,85.0471714,-22.10937564,0.603970773
ARD.TA,5837.543033,57.87374952,0.890889902,0.011666897
ARAD.TA,122633445.7,8483.494744,-19.44716727,0.867097207
ARAN.TA,6484.437796,66.17128053,-0.574654791,0.034514253
ARBE.TA,6219.565895,75.09230143,-42.62408124,0.117894617
ARGO.TA,292247.0027,433.2187994,-0.262006049,0.046055976
ARIN.TA,441.018988,16.76057633,-2.89840041,0.077696063
ARYT.TA,27068.07562,122.0706167,-0.896803744,0.202771696
ARF.TA,842171.0446,605.6322058,-10.14164749,0.107073458
ASHO.TA,1657885.006,1088.157173,-1.951186684,0.250137436
ASHG.TA,41784.67181,171.7669072,0.914362755,0.031902763
ASGR.TA,647.0810621,20.13390046,0.846862636,0.036400853
AUDC.TA,24641.70066,119.8736979,0.734909026,0.033899717
AUGN.TA,13185.93316,90.34698846,0.567072816,0.267603604
AURA.TA,164199.7593,352.6005125,-2.159183316,0.19942579
AUSA-M.TA,8001.195202,58.43077746,-0.613107455,1.140906968
AUIS.TA,229179.2403,360.6287302,-4.864241389,4.983206269
AMX.TA,125.8483423,5.739669086,-34.9400781,0.287743998
AVER.TA,106191.06,306.1929932,-6.276124825,0.326853752
AVGD.TA,117755.5385,299.047521,-2.098268337,0.167214183
AVGL.TA,101.2389328,9.411420434,-0.205057882,0.073037582
AVIA.TA,21919.8572,76.74958401,0.240138684,0.478900652
AVIV.TA,1039.139759,25.42702478,0.987796309,0.016761798
AVRT.TA,1072.946623,21.49220938,-0.722728011,0.478852787
AYAL.TA,49157.51099,124.0134972,0.819761763,0.045992812
AZRM.TA,16765.4262,91.38637834,0.521282097,0.046219377
AZRG.TA,1444762.059,914.7493331,0.72159601,0.033342545
BCOM.TA,8493.288184,63.03893249,0.833078647,0.044867098
BKFR.TA,3908.255441,49.03200531,0.695951714,0.039599752
BRAN.TA,36573.84169,144.6909428,-0.449081044,0.109676042
BRKT.TA,69.22085544,5.655240945,0.819181302,0.033694511
BVC.TA,66.01818222,7.490075398,-0.60480502,0.082328393
ORL.TA,72.92402785,7.459800906,-5.485126864,0.081505409
BHNY.TA,221978.3968,420.7198739,-74.50384662,1.735324204
BSEN.TA,77625583.93,8050.07271,-4.144451704,0.303369334
BEZQ.TA,868.9016209,21.56060096,0.611812474,0.045376005
BIG.TA,2358380.359,1057.777915,0.868699624,0.023771862
BIGT.TA,375.8007812,16.22852788,-0.789669012,0.106670226
BKRY.TA,2217.099124,43.04762894,-4.611449341,0.138591006
BIOV.TA,608735.752,510.8146784,-143932.6573,19.10411117
BOLT.TA,6689.04868,47.78809948,-1.490468824,1.262197186
BLRX.TA,19.85032158,1.936840519,-0.253304567,0.21188101
BIMT.TA,3.751975433,1.614610672,-0.453119659,0.069397019
BLSR.TA,17982010.89,3402.505812,-1.013338557,0.112793261
BOTI.TA,46084.46674,154.1027971,0.832933035,0.040270154
BONS.TA,7.114888279,2.514084956,-1.493192525,0.205689465
BCNV-M.TA,122392366.4,7772.312871,0.239937706,18.89605514
BWAY.TA,29438.84725,141.3677204,0.583159936,0.083586512
BRAM.TA,258.3217178,9.481061734,-0.892231404,0.060287265
BRND.TA,23.51512233,3.518127317,0.952935098,0.014802989
BRIL.TA,19487.23365,108.3694101,0.851801189,0.069475845
BRMG.TA,6783.132434,66.53722053,0.759677893,0.052726855
BBLS.TA,48.54682198,5.76696399,-4.418075442,0.165343815
BLGO.TA,1559.66404,32.6692688,0.110293441,0.042676698
CISY.TA,47373.32425,170.1743184,-0.377888244,0.122117834
CLAB.TA,49404.86904,154.4934692,-3.978821788,0.150299212
CAMT.TA,94917995.27,7463.579967,-1.201961147,0.212613568
CNTC.TA,242383.5772,340.8170529,-18.17882152,45.25594659
CPTP.TA,90.82014606,5.156243134,0.443559358,4.331483361
CRSM.TA,199586.5633,345.9016272,-1.419731316,0.158781701
CRSR.TA,107662.39,255.5611386,0.64108379,0.066739744
CRML.TA,50437.38923,197.4715229,-0.715674208,0.109880405
CRMT.TA,51854.36704,125.2400215,0.456814975,5.162932391
CAST.TA,221303.4567,322.7221838,0.79411708,0.042313751
CEL.TA,15137.93469,82.21255121,0.652441561,0.046213838
CTPL5.TA,3540580744,42677.30821,-0.768025334,3.507773105
CBI.TA,12.23417183,2.481371887,-0.109865615,0.064484749
CLIS.TA,175069.1732,302.2645452,0.816503024,0.043635532
CFX.TA,611.625833,17.92278135,0.409307342,0.048519334
CDEV.TA,1122257.773,717.7799559,0.152427369,0.056469732
CGEN.TA,12931.72967,97.72148815,-2.672214474,0.150325753
CMDR.TA,29884526.02,3516.51337,-0.206846062,0.10594891
CNTL-M.TA,1538.121912,34.01500183,-31.00431808,0.466905351
CMCT.TA,1114146.124,840.6544372,-6.652144321,6.297972953
DANH.TA,220173.0628,244.9507354,-36.16341395,0.103798906
DANE.TA,400877.1067,495.6202839,0.977927748,0.014503301
DNYA.TA,3173860.566,1114.021531,-0.506625327,0.10251221
DLEA.TA,27300.47046,143.3676113,0.676474105,0.065355211
DLEKG.TA,5760245.885,2078.62897,0.528332208,0.04941109
DLTI.TA,233578.7645,413.9176537,-0.81673958,0.064084803
DELG.TA,525580.8921,580.2096275,0.738739771,0.032970276
DIMRI.TA,22258561.21,4226.218909,-2.942621102,0.126490149
DIPL.TA,28196.55694,117.3668602,0.933620308,0.032117031
DIFI.TA,4561353.027,1728.755038,0.260340697,0.031985483
DSCT.TA,110526.6287,267.19918,-1.477673501,0.119664381
