Company,MSE,MAE,R2,MAPE
ABRA.TA,14.62382121,2.903367104,0.980945355,1.025332162
ACCL.TA,15.05070048,3.012372025,0.96931339,3.054564838
ACKR.TA,9360.927695,55.23616632,-0.136468351,8.457830576
ACRO.TA,30995.24057,102.1825976,0.906252302,2.164523034
ADGR.TA,19.06728439,3.392409992,0.984469234,0.72173507
AFHL.TA,17505.55527,86.11775423,0.991807519,0.848462572
AFPR.TA,35010.67891,151.8924573,0.905743389,0.923580943
AFRE.TA,8258838.196,2039.510241,-0.223327461,8.163548664
AICS-M.TA,49733.9937,84.33662384,-0.120790688,161.4466902
AILN.TA,1425748.95,1150.933689,-15846.46164,2364.384586
ALAR.TA,61469.9034,140.8432853,0.48437964,13.70922868
ALBA.TA,20746.63866,121.5289694,0.562826161,8.027798999
ALHE.TA,4499.082667,54.57499408,0.905802507,2.040102065
ALLT.TA,33396.64521,142.5100506,0.696491872,14.50458046
ALMA.TA,8914.028075,47.63418181,0.284613761,5.026389433
ALMD.TA,0.439502766,0.508806925,0.974562526,1.3958407
ALMY.TA,592499.9121,645.0913913,-2.141578648,76.27483275
ALRPR.TA,24034.99217,123.8371047,0.985980756,0.881934273
ALUMA.TA,150.4781247,9.834818989,-8.264026751,30.61507558
AMAN.TA,310.780554,12.9570474,0.832841817,0.843486411
AMD.TA,16387.96368,113.0227327,-3.076014086,12.24839972
AMDA.TA,0.472849137,0.588052324,-22.92227738,34.76459432
AMOT.TA,1075.922983,26.35466523,0.96422361,1.669106653
AMRK.TA,832.439976,22.83555244,0.99330542,0.933567374
AMRM.TA,11.44650946,1.852571332,-0.376528888,6.641872413
AMX.TA,968.0396295,28.13304113,-28.45976572,131.7183136
ANGL.TA,4176.445208,45.67865218,0.969814311,1.228002131
APLP.TA,87467.46618,245.3631821,-4.880457296,58.32606551
AQUA.TA,169785.8841,302.2851017,-42.71220223,206.2790907
ARAD.TA,231376391.4,14333.12356,-0.828013608,159.1114419
ARAN.TA,270.7534312,11.93190806,0.977141495,0.592021729
ARBE.TA,10169.22867,37.15447004,-0.005602074,164.9900064
ARD.TA,4010.683214,45.66180541,0.983873108,0.873101204
ARDM.TA,15.01541314,3.227533464,0.962112171,5.027769018
ARF.TA,3311171.717,1519.850349,-0.544043039,24.73250243
ARGO.TA,431291.9825,544.0641826,0.690408546,6.347416458
ARIN.TA,10.89230945,2.520788697,0.967510445,1.10772647
ARPT.TA,3187.76124,43.49533419,0.966869297,0.7575695
ARTS.TA,294.9229662,13.09503735,-4.531189442,81.6465811
ARYT.TA,53189.16636,206.8158945,-4.199976268,41.70990497
ASGR.TA,61.43394964,5.947748188,0.983427958,1.019411897
ASHG.TA,5299.151734,58.58129505,0.983648549,1.130579888
ASHO.TA,2412913.02,1300.619865,-2.805148121,34.93102033
AUDC.TA,247792.0701,414.7174569,0.075561415,11.12840625
AUGN.TA,7188.199981,77.80937506,0.576964338,32.98997682
AUIS.TA,135502.9874,313.1878195,-2.450845265,240.9831199
AURA.TA,356516.1458,524.8020004,-3.406213231,33.56119646
AUSA-M.TA,2794.44183,19.75424203,-0.143026383,65.73304757
AVER.TA,91193.45866,255.4809581,-1.325258067,25.98674936
AVGD.TA,133059.9549,292.813539,-1.096234074,18.68789049
AVGL.TA,164.0459114,10.71356161,-0.312420626,8.301236086
AVIA.TA,12796.88075,51.27224439,0.824871945,105.7631196
AVIV.TA,309.6530045,12.9528698,0.99433494,0.902822758
AVRT.TA,513.6204629,10.33578801,-0.235071238,23.11124664
AYAL.TA,15333.40698,57.28248451,0.90770374,2.406409868
AZRG.TA,473398.6064,414.1641706,0.886051952,1.540358649
AZRM.TA,8185.553129,52.53835645,0.782830299,2.726977689
AZRT.TA,4218.832889,59.45054732,-0.84268165,15.58183109
BBLS.TA,177.5184751,7.838386821,-12.98135991,23.50575605
BCNV-M.TA,146434069.2,7163.955026,-0.197051001,2322.075037
BCOM.TA,6492.771155,67.02801581,0.767473626,4.878412979
BCUR.TA,353.7106583,15.83334768,-10.84627524,58.3169574
BEZQ.TA,34.8481964,4.503689019,0.971425445,1.024189138
BHNY.TA,2875405.374,1508.242573,-51.08285467,542.0182715
BIG.TA,168133.413,303.5730987,0.986605408,0.756486862
BIGT.TA,3913.722021,54.76831543,-11.31754407,32.30304768
BIMT.TA,497.8450356,19.26555226,-2.37778054,71.49762338
BIOV.TA,4952494.273,2220.948262,-115.9769764,7999.095116
BIRM.TA,0.383906957,0.518135621,0.733224869,5.534095406
BKFR.TA,6394.704488,63.16009602,0.316489394,5.3183079
BKRY.TA,155.8679161,9.155670989,0.891802905,3.295688369
BLGO.TA,203.7179048,11.73217701,0.878240013,1.555680697
BLITZ-M.TA,446.2030689,19.96626958,-252.1531419,709.5356416
BLRN.TA,0.170488283,0.378328679,-0.660277365,60.19484098
BLRX.TA,35.25812689,4.69287464,0.533715751,38.57850985
BLSR.TA,10406259.87,2030.683296,-0.01365605,6.906091619
BOLT.TA,5931.549063,60.16789295,-1.148394096,58.98723331
BONS.TA,871.5737309,27.9246159,-61.68519674,191.3388042
BOTI.TA,4531.682342,47.38198966,0.978848235,1.315493274
BRAM.TA,93.60786628,2.907498598,0.501370175,40.43106097
BRAN.TA,32776.17807,101.3601563,-0.049397824,7.830388368
BRIH.TA,44.64379809,4.753329811,0.507433734,7.55474345
BRIL.TA,19248.12145,119.1997327,0.874591896,8.300198558
BRKT.TA,104.236192,5.570590418,0.71300374,32.5396237
BRMG.TA,76928.7888,247.6882057,-2.641221282,19.49825583
BRND.TA,10.65220429,2.455121323,0.978761315,1.015916272
BSEN.TA,118281372.1,8817.016504,-1.928375628,37.70543741
BULL-M.TA,21638.59997,123.9333936,-190.0362414,5610.138658
BVC.TA,69.37622546,6.519397571,-0.216378861,7.470235415
BVGG.TA,0.057389855,0.199710714,0.823224828,2.806806835
BWAY.TA,2970.189804,37.92719752,0.966404676,2.562944721
CAMT.TA,149926136.8,10658.28604,-3.131180667,30.99904457
CANF.TA,1.337377361,0.956420612,-3.59269973,36.3284863
CAST.TA,495704.0389,534.2800145,0.792201917,7.39952605
CBI.TA,27.98865747,4.32582131,-0.780842896,11.35762434
CDEV.TA,807614.2143,499.7538935,0.131530546,4.092478357
CEL.TA,820.2284984,17.88476426,0.971309274,1.075384564
CFX.TA,43.72323118,5.318978141,0.965455516,1.510172537
CGEN.TA,7926.060744,70.0776826,0.442199493,9.295557382
