Company,MSE,MAE,R2,MAPE
ABRA.TA,14.39120267,2.860617377,0.981248454,1.019737371
ACCL.TA,19.83004367,3.488217926,0.959568871,3.352429395
ACKR.TA,8815.278503,52.29462953,-0.070223523,7.955837429
ACRO.TA,37395.79611,112.611368,0.886893287,2.323133354
ADGR.TA,20.05119716,3.476259691,0.983667813,0.730613171
AFHL.TA,22014.18726,98.05581952,0.98969751,0.959840345
AFPR.TA,35776.33159,149.6355269,0.90368208,0.908772262
AFRE.TA,6377171.127,1726.568391,0.055387248,6.874727128
AICS-M.TA,49307.62588,83.79922302,-0.111182188,150.2476251
AILN.TA,1032539.292,1011.880425,-11475.86402,2027.927606
ALAR.TA,55609.45339,130.5132171,0.533538125,12.29453015
ALBA.TA,8144.971191,83.22228755,0.828368904,5.641566045
ALHE.TA,2365.291346,37.09871751,0.95047779,1.417609195
ALLT.TA,9973.532105,86.40094742,0.909360714,9.49766987
ALMA.TA,9516.146297,52.7399135,0.236291377,5.661253893
ALMD.TA,0.580535044,0.57048283,0.966399881,1.576723615
ALMY.TA,594028.7326,645.8375011,-2.149684826,75.38852131
ALRPR.TA,23247.8955,118.7723095,0.986439857,0.83969411
ALUMA.TA,6.952763215,2.291533046,0.571960479,7.056957424
AMAN.TA,165.3465959,9.916541773,0.91106573,0.647181237
AMD.TA,16334.99571,114.2534147,-3.062839894,12.34660801
AMDA.TA,0.251508797,0.393881699,-11.72427661,23.51276305
AMOT.TA,885.5421056,23.21799416,0.970554119,1.471146784
AMRK.TA,770.091958,22.10600586,0.99380683,0.903630955
AMRM.TA,11.44650946,1.852571332,-0.376528888,6.641872413
AMX.TA,536.9090178,21.53841873,-15.33942805,99.39070938
ANGL.TA,2943.928521,39.08712133,0.978722452,1.053409743
APLP.TA,21298.92465,115.6404755,-0.431931463,28.72530123
AQUA.TA,324501.6943,243.8589825,-82.54454058,172.6699979
ARAD.TA,242799843.4,14685.4014,-0.918265797,162.9868642
ARAN.TA,161.7314756,8.437016203,0.986345732,0.416028011
ARBE.TA,10169.22867,37.15447004,-0.005602074,164.9900064
ARD.TA,3378.336707,43.65765306,0.986415763,0.844279945
ARDM.TA,9.629574251,2.449341677,0.975702056,3.76744376
ARF.TA,1803349.654,1127.196853,0.159074274,18.09242786
ARGO.TA,301809.348,436.0733398,0.783354204,5.24343987
ARIN.TA,9.697374903,2.374151736,0.971074693,1.04006239
ARPT.TA,3866.611308,47.76307398,0.959813944,0.830846542
ARTS.TA,1231.532595,28.3756531,-22.0970147,125.525945
ARYT.TA,45690.84845,189.1525889,-3.466912039,37.9047387
ASGR.TA,86.25125382,7.321535819,0.976733396,1.286807744
ASHG.TA,6236.764187,61.1428133,0.980755384,1.191486769
ASHO.TA,2387681.408,1301.843394,-2.765358034,35.08327589
AUDC.TA,69911.50102,240.5832041,0.739180963,6.184437179
AUGN.TA,1455.423761,32.22768162,0.914346268,14.74171946
AUIS.TA,137096.4858,314.7523381,-2.49142678,238.7526554
AURA.TA,352814.5265,521.0061229,-3.360464605,33.265143
AUSA-M.TA,2838.698904,20.12224723,-0.161129105,56.85726301
AVER.TA,89661.50231,247.0817425,-1.286196122,25.34777424
AVGD.TA,102964.9581,232.1309354,-0.622115787,14.32645521
AVGL.TA,147.506452,10.23025796,-0.180099573,7.917448078
AVIA.TA,13746.91118,65.4178977,0.811870575,93.1549286
AVIV.TA,421.3408316,16.23201331,0.992291627,1.126393814
AVRT.TA,514.3203877,10.34268523,-0.236754303,23.10770265
AYAL.TA,12819.35179,48.9737499,0.922836573,2.033136017
AZRG.TA,515799.1801,454.3323342,0.875846044,1.707170601
AZRM.TA,10861.59597,76.28593003,0.711832601,4.085703404
AZRT.TA,4570.25721,60.87128047,-0.996175084,16.03452077
BBLS.TA,86.86540624,8.698187559,-5.841521749,25.78114892
BCNV-M.TA,131007357.6,6537.565257,-0.070942639,2196.02858
BCOM.TA,565.9937295,18.39564408,0.97973,1.429389709
BCUR.TA,144.6188543,10.73048332,-3.843492027,38.33063136
BEZQ.TA,33.60542681,4.328186907,0.972444481,0.990985702
BHNY.TA,2053335.066,1201.817134,-36.19251303,446.1412462
BIG.TA,234263.9891,373.7492666,0.98133702,0.919759458
BIGT.TA,6177.328543,68.30068481,-18.44172738,40.03750547
BIMT.TA,472.8013827,19.59506607,-2.207864286,70.32993207
BIOV.TA,4908443.326,2210.979279,-114.9365014,7961.162191
BIRM.TA,0.741781756,0.733233016,0.484539362,7.942426138
BKFR.TA,9744.043032,71.48423923,-0.041511265,5.88441694
BKRY.TA,526.8987473,15.82176047,0.634248566,5.471359262
BLGO.TA,292.8098198,14.42510563,0.824990739,1.892054682
BLITZ-M.TA,260.1661069,15.03251608,-146.6051421,531.1596063
BLRN.TA,0.183246532,0.392319649,-0.784521863,62.5850577
BLRX.TA,50.59435025,5.730547107,0.330896146,46.26384066
BLSR.TA,10531262.22,2050.824235,-0.025832305,6.979568733
