Company,Model,MSE,MAE,R2,MAPE,Composite_Score
ABRA.TA,ARIMA,29.80132614,3.84523552,0.966054877,1.372073654,-0.762826239
ACCL.TA,GRU,8.745045802,1.766280446,0.966643658,0.015539042,-0.999935724
ACKR.TA,ARIMA,146.4056937,8.794643713,0.913885312,1.641931157,-0.699206684
ACRO.TA,ARIMA,10472.39695,80.47328244,0.934274465,1.980542477,-0.61933581
ADGR.TA,ARIMA,67.10314014,6.291476472,0.90394597,1.342239571,-0.745951203
AFHL.TA,ARIMA,12997.82824,79.8456608,0.936755856,0.833069568,-0.807852913
AFPR.TA,ARIMA,72563.07383,200.7410221,0.937039157,1.278568103,-0.680937439
AFRE.TA,ARIMA,208271.6728,378.1913768,0.950930962,1.764891118,-0.524957982
AICS-M.TA,ARIMA,2170.115642,24.67775062,0.991801598,1.981422618,-0.662755157
AILN.TA,XGBoost,1032539.292,1011.880425,-11475.86402,2027.927606,0.029362679
ALAR.TA,ARIMA,3547.509578,37.66422781,0.975939593,5.32187367,-0.105969205
ALBA.TA,LSTM,20321.26316,113.1408949,0.630419747,0.071757351,-0.996146865
ALHE.TA,ARIMA,4090.272729,49.40655462,0.891789722,1.870571458,-0.636794212
ALLT.TA,ARIMA,925.9674217,21.2075157,0.983378123,2.453233823,-0.58439452
ALMA.TA,ARIMA,180.6072299,9.324219182,0.966284363,1.261306553,-0.778628064
ALMD.TA,LSTM,0.991634701,0.803397217,0.878916468,0.022029103,-0.999764021
ALMY.TA,ARIMA,354.1366354,7.724711197,0.905185493,0.809708699,-0.832752338
ALRPR.TA,ARIMA,48630.64294,164.4932565,0.929482663,1.213629942,-0.705482918
ALUMA.TA,ARIMA,0.635686809,0.545072984,0.914896495,1.769330501,-0.68229842
AMAN.TA,ARIMA,402.3039646,11.40540237,0.778455497,0.750739531,-0.798576051
AMD.TA,LSTM,10483.08265,71.97692648,-18.9595205,0.078757089,-0.996888189
