Ticker,Day,Forecast
ABRA.TA,Day_1,310.17593
ABRA.TA,Day_2,308.0891
ABRA.TA,Day_3,307.26285
ABRA.TA,Day_4,311.13745
ABRA.TA,Day_5,311.25656
ABRA.TA,Day_6,310.4145
ABRA.TA,Day_7,302.45258
ABRA.TA,Day_8,290.7573
ABRA.TA,Day_9,278.337
ABRA.TA,Day_10,275.7557
ABRA.TA,Day_11,276.0123
ABRA.TA,Day_12,274.9173
ABRA.TA,Day_13,273.30713
ABRA.TA,Day_14,270.1397
ABRA.TA,Day_15,273.50714
ABRA.TA,Day_16,278.55176
ABRA.TA,Day_17,278.04208
ABRA.TA,Day_18,283.46304
ABRA.TA,Day_19,278.55957
ABRA.TA,Day_20,279.16214
ABRA.TA,Day_21,284.0882
ABRA.TA,Day_22,283.76993
ABRA.TA,Day_23,284.69916
ABRA.TA,Day_24,290.95084
ABRA.TA,Day_25,292.07843
ABRA.TA,Day_26,293.06955
ABRA.TA,Day_27,294.77286
ABRA.TA,Day_28,294.88007
ABRA.TA,Day_29,298.21906
ABRA.TA,Day_30,300.65408
ACCL.TA,Day_1,126.7413559
ACCL.TA,Day_2,127.2300262
ACCL.TA,Day_3,127.200943
ACCL.TA,Day_4,126.797821
ACCL.TA,Day_5,126.6561356
ACCL.TA,Day_6,126.5878525
ACCL.TA,Day_7,126.8958282
ACCL.TA,Day_8,126.9607086
ACCL.TA,Day_9,127.276001
ACCL.TA,Day_10,127.5907211
ACCL.TA,Day_11,126.6876755
ACCL.TA,Day_12,126.7949753
ACCL.TA,Day_13,127.085762
ACCL.TA,Day_14,123.0980606
ACCL.TA,Day_15,127.2607269
ACCL.TA,Day_16,126.9861603
ACCL.TA,Day_17,127.2484131
ACCL.TA,Day_18,130.2524109
ACCL.TA,Day_19,130.1305084
ACCL.TA,Day_20,130.4165955
ACCL.TA,Day_21,130.4273987
ACCL.TA,Day_22,131.3000641
ACCL.TA,Day_23,130.283432
ACCL.TA,Day_24,131.2389374
ACCL.TA,Day_25,131.0806122
