Date,Ticker,Forecast,Days_Ahead
2024-09-27,TA-35,2087.0466,1
2024-09-28,TA-35,1917.8448,2
2024-09-29,TA-35,1795.4977,3
2024-09-30,TA-35,1703.4994,4
2024-10-01,TA-35,1632.9066,5
2024-10-02,TA-35,1578.2017,6
2024-10-03,TA-35,1535.6335,7
2024-10-04,TA-35,1502.476,8
2024-10-05,TA-35,1476.6633,9
2024-10-06,TA-35,1456.5945,10
2024-10-07,TA-35,1441.0149,11
2024-10-08,TA-35,1428.9387,12
2024-10-09,TA-35,1419.5903,13
2024-10-10,TA-35,1412.3623,14
2024-10-11,TA-35,1406.7788,15
2024-10-12,TA-35,1402.4692,16
2024-10-13,TA-35,1399.145,17
2024-10-14,TA-35,1396.5822,18
2024-10-15,TA-35,1394.607,19
2024-10-16,TA-35,1393.0853,20
2024-10-17,TA-35,1391.9132,21
2024-10-18,TA-35,1391.0105,22
2024-10-19,TA-35,1390.3156,23
2024-10-20,TA-35,1389.7804,24
2024-10-21,TA-35,1389.3685,25
2024-10-22,TA-35,1389.0514,26
2024-10-23,TA-35,1388.8074,27
2024-10-24,TA-35,1388.6194,28
2024-10-25,TA-35,1388.4749,29
2024-10-26,TA-35,1388.3635,30
2024-11-01,TA-125 Fossil Free,2006.0818,1
2024-11-02,TA-125 Fossil Free,1943.2388,2
2024-11-03,TA-125 Fossil Free,1885.569,3
2024-11-04,TA-125 Fossil Free,1830.7305,4
2024-11-05,TA-125 Fossil Free,1777.0763,5
2024-11-06,TA-125 Fossil Free,1723.4266,6
2024-11-07,TA-125 Fossil Free,1669.0023,7
2024-11-08,TA-125 Fossil Free,1613.4799,8
2024-11-09,TA-125 Fossil Free,1557.1339,9
2024-11-10,TA-125 Fossil Free,1501.0062,10
2024-11-11,TA-125 Fossil Free,1446.9634,11
2024-11-12,TA-125 Fossil Free,1397.4407,12
2024-11-13,TA-125 Fossil Free,1354.79,13
2024-11-14,TA-125 Fossil Free,1320.4834,14
2024-11-15,TA-125 Fossil Free,1294.6672,15
2024-11-16,TA-125 Fossil Free,1276.3384,16
2024-11-17,TA-125 Fossil Free,1263.9125,17
2024-11-18,TA-125 Fossil Free,1255.7689,18
2024-11-19,TA-125 Fossil Free,1250.5555,19
2024-11-20,TA-125 Fossil Free,1247.2697,20
2024-11-21,TA-125 Fossil Free,1245.2194,21
