Company Name,Market Sector,Symbol
ABRA,IT Services,ABRA
ACCEL,IT Services,ACCL
ACKERSTEIN GROUP,Metal & Building Products,ACKR
ACRO GROUP,Construction,ACRO
ADGAR INVESTMENTS,Investment-Proerties Abroad,ADGR
AERODROME GROUP,Defence,ARDM
AFCON HOLDINGS,Investment & Holdings,AFHL
AFI PROPERTIES,Investment-Proerties Abroad,AFPR
AFRICA ISRAEL RESIDENCES,Construction,AFRE
AI SYSTEMS,Software and Internet,AICS-M
AIRPORT CITY,Investment-Proerties In Israel,ARPT
AIRTOUCH,Robotics and 3D,ARTS
ALARUM,Software and Internet,ALAR
ALBAAD,Wood & Paper,ALBA
ALLMED SOLUTION,Medical Devices,ALMD
ALLOT,Software and Internet,ALLT
ALMA YESODOT,Investment & Holdings,ALMY
ALMEDA PARTICIPATION UNIT,Investing in Life Science,AMDA
ALMOGIM,Construction,ALMA
ALONY HETZ,Investment-Proerties In Israel,ALHE
ALROV PROPERTIES,Investment-Proerties Abroad,ALRPR
ALUMA INFRASTRUCTURES,Investment & Holdings,ALUMA
AMANET,Services,AMAN
AMIAD,"Chemical, Rubber & Plastic",AMD
AMIR MARKETING,Commerce,AMRK
AMOT,Investment-Proerties In Israel,AMOT
AMRM,Construction,AMRM
ANGEL SOLOMON,Food,ANGL
APOLLO POWER,Cleantech,APLP
AQUARIUS ENGINES,Electronics and Optics,AQUA
ARAD,Electronics and Optics,ARD
ARAD INVESTMENT,IT Services,ARAD
ARAN,Services,ARAN
ARBE ROBOTICS,Semiconductors,ARBE
ARGO PROPERTIES,Investment-Proerties Abroad,ARGO
ARI RAEL ESTATE,Investment-Proerties In Israel,ARIN
ARYT,Defence,ARYT
ASHDOD REFINERY,Energy,ARF
ASHOT,Metal & Building Products,ASHO
ASHTROM GROUP,Construction,ASHG
ASPEN GROUP,Investment-Proerties Abroad,ASGR
AUDIOCODES,Communications Equipement,AUDC
AUGWIND,Cleantech,AUGN
AURA,Construction,AURA
AURA SMART AIR,Cleantech,AUSA-M
AUSTRALIA ISR,Investment-Proerties In Israel,AUIS
AUTOMAX,Commerce,AMX
AVERBUCH,Commerce,AVER
AVGAD,Construction,AVGD
AVGOL,Wood & Paper,AVGL
AVIATION LINKS,Hotels and Tourism,AVIA
AVIV,Construction,AVIV
AVROT,Metal & Building Products,AVRT
AXILION,Software and Internet,AILN
AYALON HOLD.,Insurance,AYAL
AZORIM,Construction,AZRM
AZRIELI GROUP,Investment-Proerties In Israel,AZRG
B COMMUNICATIONS,Communications and Media,BCOM
BAIT BAKFAR,Investment-Proerties In Israel,BKFR
BAIT VEGAG,Construction,BVGG
BARAN,Services,BRAN
BAREKET,Non Banking Credit,BRKT
BATM,Investments In High-Tech,BVC
BAZAN,Energy,ORL
BEEIO HONEY,Foodtech,BHNY
BET SHEMESH,Metal & Building Products,BSEN
BEZEQ,Communications and Media,BEZQ
BIG,Investment-Proerties In Israel,BIG
BIG-TECH 50 PARTICIPATION UNIT,Investments In High-Tech,BIGT
BIKUREY HASHDE,Commerce,BKRY
BIO VIEW,Medical Devices,BIOV
BIOLIGHT,Investing in Life Science,BOLT
BIOLINE RX,Biotechnology,BLRX
BIOMEAT FOOD PARTICIPATION UNIT,Foodtech,BIMT
BIRMAN,Wood & Paper,BIRM
BLADE RANGER,Robotics and 3D,BLRN
BLITZ-MOTORS,Electronics and Optics,BLITZ-M
BLUE SQUARE REAL ESTATE,Investment-Proerties In Israel,BLSR
BONEI TICHON,Construction,BOTI
BONUS BIOGROUP,Biotechnology,BONS
BRACK CAPITAL PROPERTIES,Investment-Proerties Abroad,BCNV-M
BRAINSWAY,Medical Devices,BWAY
BRAM INDUSTRIES,"Chemical, Rubber & Plastic",BRAM
BRAND,Metal & Building Products,BRND
BRILL,Retail,BRIL
BRIMAG,Commerce,BRMG
BUBBLES,Retail,BBLS
BULIGO,Investment-Proerties Abroad,BLGO
BULL TRADING,Non Banking Credit,BULL-M
C I SYSTEMS,Electronics and Optics,CISY
C-LAB,Electronics and Optics,CLAB
CAMTEK,Semiconductors,CAMT
CAN FITE BIOFARMA,Biotechnology,CANF
CANADA GLOBAL,Investment-Proerties Abroad,CNGL
CANNABOTECH,Biotechnology,CNTC
CANZON,Investment & Holdings,CNZN
CAPITAL POINT,Investing in Life Science,CPTP
CARASSO MOTORS,Commerce,CRSM
CARASSO REAL ESTATE,Construction,CRSR
CARMEL CORP,Food,CRML
CARMIT,Food,CRMT
CASTRO,Retail,CAST
CELLCOM,Communications and Media,CEL
CIELO-BLU,Construction,CILO
CION,Non Banking Credit,CION
CIPIA VISION,Software and Internet,CPIA
CITRUS PLANT1,Investment-Proerties In Israel,CTPL1
CITRUS PLANT5,Investment-Proerties In Israel,CTPL5
CLAL BIOTECH,Investing in Life Science,CBI
CLAL INSURANCE,Insurance,CLIS
COFIX GROUP,Retail,CFX
COHEN DEVELOPMENT,Oil & Gas Exploration,CDEV
COMPUGEN,Biotechnology,CGEN
COMPUTER DIRECT,IT Services,CMDR
CONTINUAL,Shell Companies,CNTL-M
CREATIVE MEDIA,Investment-Proerties Abroad,CMCT
DAN HOTELS,Hotels and Tourism,DANH
DANEL,Services,DANE
DANYA CEBUS,Construction,DNYA
DELEK AUTOMOTIV,Commerce,DLEA
DELEK GROUP,Oil & Gas Exploration,DLEKG
DELTA BRANDS,Retail,DLTI
DELTA GALIL,Fashion & Clothing,DELG
DIMRI,Construction,DIMRI
DIPLOMAT HOLDINGS,Commerce,DIPL
DIRECT FINANCE,Non Banking Credit,DIFI
DISCOUNT,Banks,DSCT
DISCOUNT INVESTMENTS,Investment-Proerties In Israel,DISI
DNA GROUP,Investment & Holdings,DNA
DOR ALON,Energy,DRAL
DORAL ENERGY,Renewable Energy,DORL
DORSEL HOLDINGS,Investment-Proerties In Israel,DRSH
DUNIEC,Construction,DUNI
ECONERGY,Renewable Energy,ECNR
ECOPPIA,Shell Companies,ECPA-M
EFFI CAPITAL,Construction,EFCP
EL AL,Services,ELAL
ELBIT IMAGING,Shell Companies,EMITF-M
ELBIT MEDITEC,Shell Companies,EMTC-M
ELBIT SYSTEMS,Defence,ESLT
ELCO,Investment & Holdings,ELCO
ELDAV,Shell Companies,ELDAV-M
ELECTRA,Investment & Holdings,ELTR
ELECTRA CONSUMER PRODUCTS,Retail,ECP
ELECTRA POWER,Energy,ELCP
ELECTRA REAL ESTATE,Investment-Proerties Abroad,ELCRE
ELECTREON,Cleantech,ELWS
ELLOMAY,Renewable Energy,ELLO
ELMOR,Electrical,ELMR
ELRON,Investments In High-Tech,ELRN
ELSPEC,Electrical,ELSPC
EMET,IT Services,EMCO
EMILIA DEVELOPMENT,Investment & Holdings,EMDV
ENDYMED,Medical Devices,ENDY
ENERGEAN,Oil & Gas Exploration,ENOG
ENERGIX,Renewable Energy,ENRG
ENLIGHT ENERGY,Renewable Energy,ENLT
ENLIVEX,Biotechnology,ENLV
EPITOMEE MEDICAL,Medical Devices,EPIT
EQUITAL,Investment & Holdings,EQTL
ERECH FINANCE,Non Banking Credit,EFNC-M
ERIKA B-CURE,Medical Devices,BCUR
ETGA GROUP,Services,ETGA
EVOGENE,Biotechnology,EVGN
EXPORT INVESTMENT,Investment & Holdings,EXPO
FATAL HOLDINGS,Hotels and Tourism,FTAL
FEAT INVESTMENTS PARTICIPATION UNIT,Foodtech,FEAT
FIBI BANK,Banks,FIBI
FIBI HOLDINGS,Banks,FIBIH
FIRE AND GAS DETECTION,Electronics and Optics,FGAS
FLYING SPARK,Foodtech,FLYS
FMS,Fashion & Clothing,FBRT
FORESIGHT,Software and Internet,FRSX
FORMOLA,IT Services,FORTY
FOX,Retail,FOX
FRIDENSON,Services,FRDN
G 1 SECURE SOLUTIONS,Services,GOSS
G CITY,Investment-Proerties Abroad,GCT
G.P GLOBAL,Energy,GPGB-M
GALILEO TECH,Software and Internet,GLTC
GAMLA HAREL,Non Banking Credit,GMLA
GAN SHMUEL,Food,GSFI
GAON GROUP,Metal & Building Products,GAGR
GAON HOLDINGS,Metal & Building Products,GAON-M
GAV YAM,Investment-Proerties In Israel,GVYM
GEFFEN RESIDENCE & RENEWAL,Construction,GEFR
GENCELL,Cleantech,GNCL
GENERATION CAPITAL,Investment & Holdings,GNRS
GFC,Shell Companies,GFC-M
GIBUI HOLDING,Non Banking Credit,GIBUI
GILAT,Communications Equipement,GILT
GILAT TELECOM,Communications and Media,GLTL
GINEGAR,"Chemical, Rubber & Plastic",GNGR
GIVOT PARTICIPATION UNIT,Oil & Gas Exploration,GIVO
GIX,Software and Internet,GIX
GLOBAL KNAFAIM,Services,GKL
GLOBE PARTICIPATION UNIT,Oil & Gas Exploration,GLEN-M
GLOBRANDS,Commerce,GLRS
GO TO,Services,GOTO
GOLAN INDUSTRIES,"Chemical, Rubber & Plastic",GRIN
GOLD,Services,GOLD
GOLDEN HOUSE,Investment-Proerties In Israel,GOHO
GOLF,Retail,GOLF
GRACE BREEDING,Biotechnology,GRAC
GROUP 107,Software and Internet,G107
GUIDLINE,IT Services,GUID
HADASIT BIO,Shell Companies,HDST-M
HAGAG,Construction,HGG
HAGAG EUROPE,Construction,HGGE
HAMAMA,Commerce,HMAM
HAMASHBIR 365,Retail,MSBI
HAMAT,Metal & Building Products,HAMAT
HAREL,Insurance,HARL
HIGHCON SYSTEMS,Robotics and 3D,HICN
HILAN,IT Services,HLAN
HIPER GLOBAL,IT Services,HIPR
HIRON,Investment & Holdings,HRON
HIVE 2040 PARTICIPATION UNIT,Investments In High-Tech,HIVE
HOD,Metal & Building Products,HOD
HODAYAT HAARETZ,Medical Devices,HDHA
HOLMES PLACE,Services,HLMS
HOMEBIOGAS,Cleantech,HMGS
HUMAN XT,Medical Devices,HUMX
I ARGENTO PU,Investments In High-Tech,IARG
ICL,"Chemical, Rubber & Plastic",ICL
ICON GROUP,Commerce,ICON
IDENTI,Software and Internet,IDNT
IDI INSURANCE,Insurance,IDIN
IDOMOO,Software and Internet,IDMO
IES,Investment-Proerties In Israel,IES
IINTOO,Software and Internet,INTO
ILD RENEWAL,Construction,ILDR
ILEX MEDICAL,Commerce,ILX
IMAGESAT I.S.I,Defence,ISI
IMCO,Defence,IMCO
IMED PARTICIPATION UNIT,Investing in Life Science,IMED
INFEMIL,Shell Companies,INFR-M
INROM CONSTRUCTION INDUSTRIES,Metal & Building Products,INRM
INTER INDUSTRIES,Electrical,ININ
INTERCURE,Cannabis,INCR
INTERGAMA,Investment-Proerties In Israel,INTR
INTERNET GOLD,Cleantech,IGLD
ISRAEL CANADA,Construction,ISCN
ISRAEL LAND DEVELOPMENT COMPANY,Investment-Proerties In Israel,ILDC
ISRAEL OPPORTUNITY PARTICIPATION UNIT,Oil & Gas Exploration,ISOP
ISRAEL SHIPYARD,Investment & Holdings,ISHI
ISRAIR GROUP,Services,ISRG
ISRAMCO PARTICIPATION UNIT,Oil & Gas Exploration,ISRA
ISRAS,Investment-Proerties In Israel,ISRS
ISROTEL,Hotels and Tourism,ISRO
ISSTA,Hotels and Tourism,ISTA
JACOB FINANCE,Non Banking Credit,JCFN
JERUSALEM,Banks,JBNK
JUNGO,Software and Internet,JNGO
KADIMASTEM,Biotechnology,KDST
KAFRIT,"Chemical, Rubber & Plastic",KAFR
KAMADA,Biotechnology,KMDA
KARDEN ISRAEL,Construction,KRDI
KARDEN REAL ESTATE,Construction,KARE
KENON,Investment & Holdings,KEN
KERUR,Food,KRUR
KEYSTONE INFRA,Investment & Holdings,KSTN
KLIL,Metal & Building Products,KLIL
KNAFAIM,Services,KNFM
LACHISH,Metal & Building Products,LHIS
LAHAV,Investment & Holdings,LAHAV
LAPIDOTH-HELETZ - LIMITD PARTNERSHIP,Oil & Gas Exploration,LPHL
LESICO,Construction,LSCO
LEUMI,Banks,LUMI
LEVINSKI OFER,Construction,LEOF
LEVINSTEIN ENGINEERING,Construction,LEVI
LEVINSTEIN PROPERTIES,Investment-Proerties In Israel,LVPR
LIBRA,Insurance,LBRA
LINEAGE THERAPY,Biotechnology,LCTX
LIVEPERSON,Software and Internet,LPSN
LODZIA,Investment-Proerties Abroad,LODZ
LUDAN,Services,LUDN
LUZON GROUP,Construction,LUZN
LUZON RONSON,Construction,LURO
MAGIC,Software and Internet,MGIC
MALAM TEAM,IT Services,MLTM
MASLAVI,Construction,MSLA
MASSIVIT,Robotics and 3D,MSVT
MATRICELF,Biotechnology,MTLF
MATRIX,IT Services,MTRX
MAX STOCK,Retail,MAXO
MAYTRONICS,Robotics and 3D,MTRN
MEDIPOWER,Investment-Proerties Abroad,MDPR
MEDIPRSS PARTICIPATION UNIT,Investing in Life Science,MPRS
MEDITERRANEAN TOWERS LTD,Investment-Proerties In Israel,MDTR
MEGA OR,Investment-Proerties In Israel,MGOR
MEHADRIN,Food,MEDN
MELISRON,Investment-Proerties In Israel,MLSR
MENDELSON INFRASTRUCTURE,Commerce,MNIN
MENIF,Non Banking Credit,MNIF
MENIVIM REIT,Investment-Proerties In Israel,MNRT
MENORA MIVTAHIM HOLDINGS,Insurance,MMHD
MER,Electrical,CMER
MERARA PARTICIPATION UNIT,Investments In High-Tech,???
MERCHAVIA HOLDINGS,Investing in Life Science,MRHL
MESHEK ENERGY,Energy,MSKE
MGURIT,Investment-Proerties In Israel,MGRT
MIA DYNAMICS,Electronics and Optics,MIA
MICHLOL FINANCES,Non Banking Credit,MCLL
MICHMAN,Non Banking Credit,MCMN
MICRONET,Communications Equipement,MCRNT
MIGDAL INSURANCE,Insurance,MGDL
MILLENNIUM FOOD PARTICIPATION UNIT,Foodtech,MIFT
MIRLAND DEVELOPMENT CORPORATION,Construction,MLD
MISHORIM,Investment-Proerties Abroad,MSHR
MIVNE,Investment-Proerties In Israel,MVNE
MIVTACH SHAMIR,Investment & Holdings,MISH
MIZRAHI TEFAHOT,Banks,MZTF
MLRN,Non Banking Credit,MLRN
MODIIN PPARTICIPATION UNITU,Oil & Gas Exploration,MDIN
MULTI RETAIL,Retail,MRG
MYDAS,Investment-Proerties In Israel,MYDS
NAPHTHA,Oil & Gas Exploration,NFTA
NAVITAS PTRO PARTICIPATION UNIT,Oil & Gas Exploration,NVPT
NAWI,Non Banking Credit,NAWI
NAYAX,Software and Internet,NYAX
NETANEL GROUP,Construction,NTGR
NETANEL MENIVIM,Investment-Proerties In Israel,NTNB
NETO HOLDINGS,Food,NTO
NETO MALINDA,Commerce,NTML
NEWMED ENERGY PARTICIPATION UNIT,Oil & Gas Exploration,NWMD
NEXT VISION,Electronics and Optics,NXSN
NEXTAGE,Investing in Life Science,NXTG
NEXTCOM,Services,NXTM
NEXTFERM,Foodtech,NXFR
NEXTGEN,Medical Devices,NXGN
NICE,Software and Internet,NICE
NISSAN,Wood & Paper,NISA
NOFAR ENERGY,Renewable Energy,NOFR
NORSTAR,Investment-Proerties Abroad,NSTR
NOVA,Semiconductors,NVMI
NOVOLOG,Services,NVLG
NRGENE,Software and Internet,NRGN
NUR,Electronics and Optics,NURI
O.R.T.,Investments In High-Tech,ORTC
ONE TECHNOLOGIES,IT Services,ONE
OPAL BALANCE,Non Banking Credit,OPAL
OPC ENERGY,Energy,OPCE
OPKO HEALTH,Investing in Life Science,OPK
ORAD,Investment & Holdings,ORAD
ORAMED PHARM,Biotechnology,ORMP
ORBIT,Defence,ORBI
ORIAN,Services,ORIN
ORMAT TECHNOLOGY,Renewable Energy,ORA
ORON GROUP,Construction,ORON
OVERSEAS,Services,OVRS
PALRAM,"Chemical, Rubber & Plastic",PLRM
PARKOMAT,Robotics and 3D,PRKM
PARTNER,Communications and Media,PTNR
PAYMENT FINANCES,Software and Internet,PMNT
PAYTON,Electronics and Optics,PAYT
PAZ ENERGY,Energy,PAZ
PCB TECHNOLOGIES,Electronics and Optics,PCBT
PENINSULA GROUP,Non Banking Credit,PEN
PERION NETWORK,Software and Internet,PERI
PETROCHEMICAL,Energy,PTCH
PETROTX PARTICIPATION UNIT,Oil & Gas Exploration,PTX
PHARMOCANN,Cannabis,PMCN
PHOENIX,Insurance,PHOE
PHOTOMYNE,Software and Internet,PHTM
PLANT ARC,Biotechnology,PLNT
PLASSON INDUS,"Chemical, Rubber & Plastic",PLSN
PLASTO CARGAL,Wood & Paper,PLCR
PLASTOFIL,"Chemical, Rubber & Plastic",PPIL
PLAZA CENTERS,Construction,PLAZ-L
PLURI,Biotechnology,PLUR
POALIM,Banks,POLI
POLYGON,Investment-Proerties In Israel,POLY
POLYRAM,"Chemical, Rubber & Plastic",POLP
POMVOM,Software and Internet,PMVM
PRASHKOVSKY,Construction,PRSK
PRIME ENERGY,Renewable Energy,PRIM
PRIMOTECH,Commerce,PRMG
PRIORTECH,Semiconductors,PRTC
PROPDO,Software and Internet,PRPD
PROPERTY AND BUILDING CORP. LTD.,Investment-Proerties In Israel,PTBL
PULSENMORE,Medical Devices,PULS
PURPLE BIOTECH,Biotechnology,PPBT
QUALITAU,Semiconductors,QLTU
QUEENCO,Hotels and Tourism,QNCO
QUICKLIZARD,Software and Internet,QLRD
RALCO,Commerce,RLCO
RAM ON,"Chemical, Rubber & Plastic",RMN
RAMI LEVI,Retail,RMLI
RANI ZIM,Investment-Proerties In Israel,RANI
RAPAC,Investment & Holdings,RPAC
RATIO PARTICIPATION UNIT,Oil & Gas Exploration,RATI
RATIO PETROL PARTICIPATION UNIT,Oil & Gas Exploration,RTPT
RAV BARIACH,Metal & Building Products,BRIH
RAVAD,Investment-Proerties In Israel,RAVD
RAVAL,"Chemical, Rubber & Plastic",RVL
RAY TLV GROUP,Construction,RAYG-M
RAZOR LABS,Software and Internet,RZR
REIT 1,Investment-Proerties In Israel,RIT1
REIT AZORIM LIVING,Investment-Proerties In Israel,AZRT
REKAH,Pharma,REKA
RETAILMINDS,Software and Internet,RTMD-L
RETAILORS,Retail,RTLS
RIMON,Construction,RMON
RIMONI,"Chemical, Rubber & Plastic",RIMO
ROBOGROUP,Robotics and 3D,ROBO
ROTEM ENERGY PARTICIPATION UNIT,Oil & Gas Exploration,RTEN
ROTSHTEIN,Construction,ROTS
RSL,Defence,RSEL
S.R ACCORD,Non Banking Credit,SRAC
SANO,"Chemical, Rubber & Plastic",SANO1
SAPIENS,Software and Internet,SPNS
SARFATI,Construction,SRFT
SARINE TECHNOLOGIES,Electronics and Optics,SARN
SAVERONE,Communications Equipement,SVRE
SAVOREAT,Foodtech,SVRT
SCHNAPP,Commerce,SHNP
SCODIX,Electronics and Optics,SCDX
SCOPE,Commerce,SCOP
SEACH MEDICAL,Cannabis,SEMG
SELLA REAL ESTATE,Investment-Proerties In Israel,SLARL
SHAGRIR,Services,SHGR
SHAMAYM,Software and Internet,SHMM
SHANIV,Wood & Paper,SHAN
SHAPIR ENGINEERING,Metal & Building Products,SPEN
SHEMEN REAL ESTATE,Investment-Proerties In Israel,SMNR
SHIKN&BINUI ENERGY,Energy,SBEN
SHIKUN & BINUI,Construction,SKBN
SHOHAM BUSINESS,Non Banking Credit,SHOM
SHUFERSAL,Retail,SAE
